"Rk_name","Rk_Pk","Rk_Pk_url","Rk_Tm","Rk_Tm_url","Rk_Player","Rk_Player_url","Rk_College","Rk_College_url","Rk_Yrs","Rk_G","Rk_MP","Rk_PTS","Rk_TRB","Rk_AST","Rk_FG","Rk__3P","Rk_FT","Rk_WS","Rk_WS_48","Rk_BPM","Rk_VOBR"
"1","1","https://stathead.com/basketball/draft_finder.cgi?request=1&year_min=&year_max=&round_min=&round_max=&pick_overall_min=1&pick_overall_max=1&franch_id=&college_id=0&pos_is_g=Y&pos_is_gf=Y&pos_is_f=Y&pos_is_fg=Y&pos_is_fc=Y&pos_is_c=Y&pos_is_cf=Y&is_active=&is_hof=&c1stat=&c1comp=gt&c1val=&c2stat=&c2comp=gt&c2val=&c3stat=&c3comp=gt&c3val=&c4stat=&c4comp=gt&c4val=&order_by=ws","CLE","https://www.basketball-reference.com/teams/CLE/draft.html","Andrew Wiggins","https://www.basketball-reference.com/players/w/wiggian01.html","Kansas","https://www.basketball-reference.com/friv/draft.fcgi?college=kansas","6","454","35.8","19.7","4.4","2.3",".441",".332",".732","15.0",".044","-1.9","0.2"
"2","2","https://stathead.com/basketball/draft_finder.cgi?request=1&year_min=&year_max=&round_min=&round_max=&pick_overall_min=2&pick_overall_max=2&franch_id=&college_id=0&pos_is_g=Y&pos_is_gf=Y&pos_is_f=Y&pos_is_fg=Y&pos_is_fc=Y&pos_is_c=Y&pos_is_cf=Y&is_active=&is_hof=&c1stat=&c1comp=gt&c1val=&c2stat=&c2comp=gt&c2val=&c3stat=&c3comp=gt&c3val=&c4stat=&c4comp=gt&c4val=&order_by=ws","MIL","https://www.basketball-reference.com/teams/MIL/draft.html","Jabari Parker","https://www.basketball-reference.com/players/p/parkeja01.html","Duke","https://www.basketball-reference.com/friv/draft.fcgi?college=duke","6","285","29.0","14.9","5.7","2.1",".493",".324",".740","13.2",".077","-0.8","2.4"
"3","3","https://stathead.com/basketball/draft_finder.cgi?request=1&year_min=&year_max=&round_min=&round_max=&pick_overall_min=3&pick_overall_max=3&franch_id=&college_id=0&pos_is_g=Y&pos_is_gf=Y&pos_is_f=Y&pos_is_fg=Y&pos_is_fc=Y&pos_is_c=Y&pos_is_cf=Y&is_active=&is_hof=&c1stat=&c1comp=gt&c1val=&c2stat=&c2comp=gt&c2val=&c3stat=&c3comp=gt&c3val=&c4stat=&c4comp=gt&c4val=&order_by=ws","PHI","https://www.basketball-reference.com/teams/PHI/draft.html","Joel Embiid","https://www.basketball-reference.com/players/e/embiijo01.html","Kansas","https://www.basketball-reference.com/friv/draft.fcgi?college=kansas","4","209","30.4","23.9","11.5","3.1",".480",".319",".793","22.8",".172","4.3","10.1"
"4","4","https://stathead.com/basketball/draft_finder.cgi?request=1&year_min=&year_max=&round_min=&round_max=&pick_overall_min=4&pick_overall_max=4&franch_id=&college_id=0&pos_is_g=Y&pos_is_gf=Y&pos_is_f=Y&pos_is_fg=Y&pos_is_fc=Y&pos_is_c=Y&pos_is_cf=Y&is_active=&is_hof=&c1stat=&c1comp=gt&c1val=&c2stat=&c2comp=gt&c2val=&c3stat=&c3comp=gt&c3val=&c4stat=&c4comp=gt&c4val=&order_by=ws","ORL","https://www.basketball-reference.com/teams/ORL/draft.html","Aaron Gordon","https://www.basketball-reference.com/players/g/gordoaa01.html","Arizona","https://www.basketball-reference.com/friv/draft.fcgi?college=arizona","6","403","28.6","12.8","6.4","2.4",".448",".319",".701","21.7",".090","0.0","5.7"
"5","5","https://stathead.com/basketball/draft_finder.cgi?request=1&year_min=&year_max=&round_min=&round_max=&pick_overall_min=5&pick_overall_max=5&franch_id=&college_id=0&pos_is_g=Y&pos_is_gf=Y&pos_is_f=Y&pos_is_fg=Y&pos_is_fc=Y&pos_is_c=Y&pos_is_cf=Y&is_active=&is_hof=&c1stat=&c1comp=gt&c1val=&c2stat=&c2comp=gt&c2val=&c3stat=&c3comp=gt&c3val=&c4stat=&c4comp=gt&c4val=&order_by=ws","UTA","https://www.basketball-reference.com/teams/UTA/draft.html","Dante Exum","https://www.basketball-reference.com/players/e/exumda01.html","","","5","239","18.5","5.7","1.8","2.1",".407",".308",".766","3.1",".034","-3.3","-1.5"
"6","6","https://stathead.com/basketball/draft_finder.cgi?request=1&year_min=&year_max=&round_min=&round_max=&pick_overall_min=6&pick_overall_max=6&franch_id=&college_id=0&pos_is_g=Y&pos_is_gf=Y&pos_is_f=Y&pos_is_fg=Y&pos_is_fc=Y&pos_is_c=Y&pos_is_cf=Y&is_active=&is_hof=&c1stat=&c1comp=gt&c1val=&c2stat=&c2comp=gt&c2val=&c3stat=&c3comp=gt&c3val=&c4stat=&c4comp=gt&c4val=&order_by=ws","BOS","https://www.basketball-reference.com/teams/BOS/draft.html","Marcus Smart","https://www.basketball-reference.com/players/s/smartma01.html","Oklahoma State","https://www.basketball-reference.com/friv/draft.fcgi?college=okstate","6","401","28.9","9.9","3.6","4.1",".373",".318",".775","20.7",".086","-0.3","5.0"
"7","7","https://stathead.com/basketball/draft_finder.cgi?request=1&year_min=&year_max=&round_min=&round_max=&pick_overall_min=7&pick_overall_max=7&franch_id=&college_id=0&pos_is_g=Y&pos_is_gf=Y&pos_is_f=Y&pos_is_fg=Y&pos_is_fc=Y&pos_is_c=Y&pos_is_cf=Y&is_active=&is_hof=&c1stat=&c1comp=gt&c1val=&c2stat=&c2comp=gt&c2val=&c3stat=&c3comp=gt&c3val=&c4stat=&c4comp=gt&c4val=&order_by=ws","LAL","https://www.basketball-reference.com/teams/LAL/draft.html","Julius Randle","https://www.basketball-reference.com/players/r/randlju01.html","Kentucky","https://www.basketball-reference.com/friv/draft.fcgi?college=kentucky","6","375","29.2","16.1","9.0","2.8",".493",".295",".724","20.5",".090","-0.5","4.1"
"8","8","https://stathead.com/basketball/draft_finder.cgi?request=1&year_min=&year_max=&round_min=&round_max=&pick_overall_min=8&pick_overall_max=8&franch_id=&college_id=0&pos_is_g=Y&pos_is_gf=Y&pos_is_f=Y&pos_is_fg=Y&pos_is_fc=Y&pos_is_c=Y&pos_is_cf=Y&is_active=&is_hof=&c1stat=&c1comp=gt&c1val=&c2stat=&c2comp=gt&c2val=&c3stat=&c3comp=gt&c3val=&c4stat=&c4comp=gt&c4val=&order_by=ws","SAC","https://www.basketball-reference.com/teams/SAC/draft.html","Nik Stauskas","https://www.basketball-reference.com/players/s/stausni01.html","Michigan","https://www.basketball-reference.com/friv/draft.fcgi?college=michigan","5","335","19.9","6.8","2.1","1.5",".389",".353",".814","3.8",".028","-3.0","-1.7"
"9","9","https://stathead.com/basketball/draft_finder.cgi?request=1&year_min=&year_max=&round_min=&round_max=&pick_overall_min=9&pick_overall_max=9&franch_id=&college_id=0&pos_is_g=Y&pos_is_gf=Y&pos_is_f=Y&pos_is_fg=Y&pos_is_fc=Y&pos_is_c=Y&pos_is_cf=Y&is_active=&is_hof=&c1stat=&c1comp=gt&c1val=&c2stat=&c2comp=gt&c2val=&c3stat=&c3comp=gt&c3val=&c4stat=&c4comp=gt&c4val=&order_by=ws","CHH","https://www.basketball-reference.com/teams/CHA/draft.html","Noah Vonleh","https://www.basketball-reference.com/players/v/vonleno01.html","Indiana","https://www.basketball-reference.com/friv/draft.fcgi?college=indiana","6","335","16.9","5.0","5.2","0.8",".460",".310",".691","9.3",".079","-2.4","-0.5"
"10","10","https://stathead.com/basketball/draft_finder.cgi?request=1&year_min=&year_max=&round_min=&round_max=&pick_overall_min=10&pick_overall_max=10&franch_id=&college_id=0&pos_is_g=Y&pos_is_gf=Y&pos_is_f=Y&pos_is_fg=Y&pos_is_fc=Y&pos_is_c=Y&pos_is_cf=Y&is_active=&is_hof=&c1stat=&c1comp=gt&c1val=&c2stat=&c2comp=gt&c2val=&c3stat=&c3comp=gt&c3val=&c4stat=&c4comp=gt&c4val=&order_by=ws","PHI","https://www.basketball-reference.com/teams/PHI/draft.html","Elfrid Payton","https://www.basketball-reference.com/players/p/paytoel01.html","LA-Lafayette","https://www.basketball-reference.com/friv/draft.fcgi?college=ulala","6","387","29.3","11.0","4.4","6.6",".452",".289",".625","14.9",".063","-0.5","4.3"
